mol1,mol2,similarity
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1ccc(C)n1-c1cccc(C(=O)O)c1,1.0
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1ccccc1NC(=O)c1ccccc1,0.3
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1cc(=O)c(C(=O)O)cn1-c1ccc(C(C)C)cc1,0.2916666666666667
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1cccc(NC(=O)c2ccccc2C(=O)O)c1,0.28888888888888886
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,O=C(O)C(=O)/C=C(\O)c1cccc(F)c1,0.27906976744186046
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccccc1,0.2653061224489796
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1cccc(C)c1NC(=O)C12CCCN1CCC2,0.25
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1nc2cc(Nc3ccccc3C(=O)O)ccc2s1,0.24528301886792453
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,O=C(NC(=S)Nc1ccccc1)c1cccc(Cl)c1,0.24489795918367346
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1ccc(Oc2ccccc2F)c(CC(=O)O)c1,0.24489795918367346
O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,1.0
O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,O=S(=O)(CCN1CCCC1)NCc1ccccc1,0.25862068965517243
O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,CNc1ccc(N2CCC(Cc3c[nH]cn3)CC2)cc1,0.22727272727272727
O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,CCOC(=O)Cc1ccc2c(c1)OCc1ccccc1C2=O,0.21739130434782608
O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,CCC(=O)c1c[nH]c(C(=O)NCCCN2CCOCC2)c1,0.2112676056338028
O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,O=C(Cc1ccc(O)c(Cl)c1)NCCN1CCNCC1,0.20588235294117646
