mol1,mol2,similarity
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,Cc1ccc(C)n1-c1cccc(C(=O)O)c1,1.0
O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,O=S(=O)(NCc1ccc2c(c1)OCO2)c1c[nH]cn1,1.0
Cc1c(O)c(=O)ccn1-c1ccc(OC(=O)N(C)C)cc1,Cc1c(O)c(=O)ccn1-c1ccc(OC(=O)N(C)C)cc1,1.0
CCc1ccc(NCc2ccccc2)cc1,CCc1ccc(NCc2ccccc2)cc1,1.0
CN1C(=O)/C(=C/c2ccc(Cl)cc2)SC1=S,CN1C(=O)/C(=C/c2ccc(Cl)cc2)SC1=S,1.0
CCCCCC[Se](=O)CC(=O)C(F)(F)F,CCCCCC[Se](=O)CC(=O)C(F)(F)F,1.0
CCCN(CCC)c1nc(N)nc(C#N)n1,CCCN(CCC)c1nc(N)nc(C#N)n1,1.0
COC1=C(N2CCOCC2)C(=O)c2ccccc2C1=O,COC1=C(N2CCOCC2)C(=O)c2ccccc2C1=O,1.0
CN1CCC(c2ccccc2)=C(Cc2cc(/C=C/C(=O)c3ccccc3O)ccc2N)C1.Cl,CN1CCC(c2ccccc2)=C(Cc2cc(/C=C/C(=O)c3ccccc3O)ccc2N)C1.Cl,1.0
COc1cccc(OCc2nc3ccccc3[nH]2)c1,COc1cccc(OCc2nc3ccccc3[nH]2)c1,1.0
O=C(CBr)c1ccc([N+](=O)[O-])cc1,O=C(CBr)c1ccc([N+](=O)[O-])cc1,1.0
CC1CCC2CC1OO[C@]2(C)/C=C/[C@H](O)C(C)(C)O,CC1CCC2CC1OO[C@]2(C)/C=C/[C@H](O)C(C)(C)O,1.0
O=C(Cc1cccs1)Nc1ccc(Cl)cc1,O=C(Cc1cccs1)Nc1ccc(Cl)cc1,1.0
COc1ccc(CCNC(=O)CSc2nc[nH]n2)cc1,COc1ccc(CCNC(=O)CSc2nc[nH]n2)cc1,1.0
CCOC(=O)[C@@]1(c2ccccc2)CC1CN1CCCC1,CCOC(=O)[C@@]1(c2ccccc2)CC1CN1CCCC1,1.0
COC1(COS(N)(=O)=O)OC(CO)[C@@H](O)C1O,COC1(COS(N)(=O)=O)OC(CO)[C@@H](O)C1O,1.0
O=c1cc(OCc2ccccc2)c2ccccc2o1,O=c1cc(OCc2ccccc2)c2ccccc2o1,1.0
COc1ccc(C(=O)/C=C/c2cc(OC)ccc2O)cc1,COc1ccc(C(=O)/C=C/c2cc(OC)ccc2O)cc1,1.0
CCCCN(C)c1nc2ccccc2[nH]1,CCCCN(C)c1nc2ccccc2[nH]1,1.0
O=C(NC(=S)Nc1ccccc1)c1cccc(Cl)c1,O=C(NC(=S)Nc1ccccc1)c1cccc(Cl)c1,1.0
COCCn1ccc2cc(NC(=O)COC)ccc21,COCCn1ccc2cc(NC(=O)COC)ccc21,1.0
NCC1CN(C2c3ccccc3CCc3ccccc32)C1,NCC1CN(C2c3ccccc3CCc3ccccc32)C1,1.0
Cc1ccc(OCC(=O)Nc2ccccc2C(N)=O)cc1,Cc1ccc(OCC(=O)Nc2ccccc2C(N)=O)cc1,1.0
Cc1cnn(C2CN(CC(O)Cn3cccn3)C2)c1,Cc1cnn(C2CN(CC(O)Cn3cccn3)C2)c1,1.0
C=CCNC(=O)CN1CCC(O)(c2ccc(F)cc2)CC1,C=CCNC(=O)CN1CCC(O)(c2ccc(F)cc2)CC1,1.0
CN(C)Cc1ccccc1Cc1ccccc1,CN(C)Cc1ccccc1Cc1ccccc1,1.0
CS/C(=N\c1ccc(C)cc1)Nc1ccc(C)cc1,CS/C(=N\c1ccc(C)cc1)Nc1ccc(C)cc1,1.0
O=C(N/N=C/c1cccc(F)c1)c1ccncc1,O=C(N/N=C/c1cccc(F)c1)c1ccncc1,1.0
COC(=O)/C=c1\sc2ncnn2c1=O,COC(=O)/C=c1\sc2ncnn2c1=O,1.0
CCCN1CCN(C(=O)c2ccc3[nH]c(C)c(C)c3c2)CC1,CCCN1CCN(C(=O)c2ccc3[nH]c(C)c(C)c3c2)CC1,1.0
CC1(CN2C(c3ccccc3[N+](=O)[O-])SC[C@H]2C(=O)O)C[C@H](O)[C@]23CC[C@@H](O)[C@](C)(CCC12)C3,CC1(CN2C(c3ccccc3[N+](=O)[O-])SC[C@H]2C(=O)O)C[C@H](O)[C@]23CC[C@@H](O)[C@](C)(CCC12)C3,1.0
